Description,Category
"Israel is expanding its bombardment of militant groups in Lebanon, hitting Beirut’s southern suburbs with a dozen airstrikes and striking a Palestinian refugee camp deep in the north for the first time. The Hamas militant group says two members of its militar…",politics
The unique communal structure of the kibbutz plays a vital role in fostering resilience and support as people heal from the devastating impact of the October 7 massacre with many now returning home.,climate
"As the anniversary of the Hamas attack on Israel approaches, a deal to release the hostages appears remote.",politics
"Less than 10 days after Hurricane Helene made landfall in Florida, the state is now bracing for another potential storm brewing in the Gulf of Mexico.",climate
"The Northern Lights can potentially be seen from several northern U.S. states Saturday night, according to a National Oceanic and Atmospheric Administration update, as...",science
Todd Phillips' movie starring Joaquin Phoenix and Lady Gaga is the first Hollywood comic book pic to receive the failing grade from audiences and may only open in the mid-$40 million range.,business
"Israel is expanding its bombardment of militant groups in Lebanon, hitting Beirut’s southern suburbs with a dozen airstrikes and striking a Palestinian refugee camp deep in the north for the first time. The Hamas militant group says two members of its militar…",politics
The unique communal structure of the kibbutz plays a vital role in fostering resilience and support as people heal from the devastating impact of the October 7 massacre with many now returning home.,climate
"As the anniversary of the Hamas attack on Israel approaches, a deal to release the hostages appears remote.",politics
"Less than 10 days after Hurricane Helene made landfall in Florida, the state is now bracing for another potential storm brewing in the Gulf of Mexico.",climate
"The Northern Lights can potentially be seen from several northern U.S. states Saturday night, according to a National Oceanic and Atmospheric Administration update, as...",science
Todd Phillips' movie starring Joaquin Phoenix and Lady Gaga is the first Hollywood comic book pic to receive the failing grade from audiences and may only open in the mid-$40 million range.,business
"Whooping cough (pertussis) infections continue to rise in the U.S., with the Centers for Disease Control and Prevention estimating more than 17,600 cases as of Oct. 5.",science
Boeing will lay off 10% of its workforce in the coming months and is making changes to its production schedule amid the ongoing Machinists strike.,business
"“There’s a spectrum, right. Like where do the Menendez brothers fit in?” the journalist shared.",politics
"There is no evidence tying Iran to two recent assassination attempts, but officials told the campaign that Iran is still plotting.",politics
"Only visible at dusk through Friday, October 18.",entertainment
Mike Francesa cannot believe how little a handle sports franchises have on their young players.,sports
The new text is timed to a new California law against false advertising.,business
"Being able to use satellite mode in the aftermath of recent hurricanes has been a lifeline for some. A look at how it works, and how it's evolving.",climate
"Head of Instagram Adam Mosseri is acknowledging recent mistakes in Meta’s moderation processes. He explains there’s a “tool” that broke, which apparently did not show human reviewers “sufficient context.”",business
"Jupiter’s Great Red Spot, the solar system’s largest storm, wiggles like gelatin and contracts like a stress ball, new observations from Hubble Space Telescope find.",science
"Gustavo Alarcón, a doctor, was sworn in days after his predecessor was killed and beheaded.",politics
The former president also made his debut on the campaign trail on behalf of the Democratic nominee.,politics
"The face of Arthropleura, a car-sized, millipede-like creature and the largest arthropod to ever exist, has finally been unveiled.",science
"The Biden administration sued Virginia election officials Friday, alleging that they were violating federal law by purging voters flagged as potential noncitizens during the so-called quiet period before an election, when electoral officials are forbidden fro…",politics
A review by the NFL and the players association has concluded that Bills quarterback Josh Allen was properly evaluated for a concussion during last week's game against the Texans.,sports
"The Social Security Administration this week announced a 2.5 percent cost-of-living adjustment (COLA) for this year, a more modest increase in the national retirement and benefits plan that reflects easing inflation in the economy. Last year, the increase was…",business
"Roughly 15.5 million U.S. adults have attention-deficit hyperactivity disorder, and most of them struggle with gaining access to treatment for the condition, according to data from a U.S. study released on Thursday.",science
"Friday marked the 49th anniversary of the first broadcast of 'Saturday Night Live', with the new movie 'Saturday Night' recounting the story.",entertainment
"Enjoy the videos and music you love, upload original content, and share it all with friends, family, and the world on YouTube.",entertainment
Disney is behind both properties.,entertainment
"LOS ANGELES -- The Dodgers wanted to keep their pitching options open heading into Game 5 of the National League Division Series against the Padres on Friday night. They made their choice late Thursday night.
With their season on the line at Dodger Stadium, L…",sports
"Whooping cough (pertussis) infections continue to rise in the U.S., with the Centers for Disease Control and Prevention estimating more than 17,600 cases as of Oct. 5.",science
"After Wall Street balked at Tesla's highly-anticipated robotaxi unveiling, CNBC's Jim Cramer told investors not to make any moves on the stock.",business
Here's what you need to know about the next chance to see the aurora in Massachusetts skies.,science
"Florida residents are repairing the damage caused by Hurricane Milton and cleaning up debris. The storm smashed through coastal communities, tore homes to pieces, flooded streets and spawned a barrage of deadly tornadoes. At least 10 people are dead and rescu…",business
Bank reports better-than-expected results and raises its guidance for full-year net interest income,business
"While the Galaxy S25 Ultra is going to be really capable, it's also headed in the wrong direction in a key area. Stick with me and see why I think so!",entertainment
"Donald Trump's ascent in 1970s and 80s New York is quite a story. So is the backstory about the movie, which barely made it to theaters.",entertainment
"Friday marked the 49th anniversary of the first broadcast of 'Saturday Night Live', with the new movie 'Saturday Night' recounting the story.",entertainment
"“There’s a spectrum, right. Like where do the Menendez brothers fit in?” the journalist shared.",politics
"The Biden administration sued Virginia election officials Friday, alleging that they were violating federal law by purging voters flagged as potential noncitizens during the so-called quiet period before an election, when electoral officials are forbidden fro…",politics
Iran’s government is extremely nervous and has been engaging in urgent diplomatic efforts with countries in the Middle East to gauge whether they can reduce the scale of Israel’s response to its missile attack earlier this month and – if that fails – help pro…,politics
"As of 10 October 2024, a total of 58 cases of Marburg virus disease (MVD), including 13 deaths (case fatality ratio (CFR): 22%), have been reported in Rwanda. Fifteen recoveries have been reported among the confirmed cases as of 10 October 2024. Contact traci…",science
The National Weather Service confirmed Friday afternoon that an EF-3 tornado touched down in St. Lucie County on Wednesday.,science
"Thousands of people are trapped in Gaza's Jabalia camp as Israeli forces attack the area, Médecins Sans Frontières (Doctors Without Borders) said on Friday, a week after Israel launched an offensive there which it says is aimed at stopping Hamas regrouping.",politics
Boeing will lay off 10% of its workforce in the coming months and is making changes to its production schedule amid the ongoing Machinists strike.,business
Israel has acknowledged that shots fired by its military injured two UN troops in southern Lebanon on Friday.,politics
[Removed],business
Boeing will lay off 10% of its workforce in the coming months and is making changes to its production schedule amid the ongoing Machinists strike.,business
"""I've only seen maybe three of these things. And so it's not every day you get to see one of these.""",entertainment
"Enjoy the videos and music you love, upload original content, and share it all with friends, family, and the world on YouTube.",entertainment
The move has been the focus of attention as it involves putting American boots on the ground in Israel.,politics
Harris said Trump poses a danger because he believes those who do not agree with him are the enemy.,politics
South Korea says North Korea blew up the northern parts of inter-Korean roads no longer in use. Tuesday's action came after the rivals exchanged threats of destruction amid rising animosities over North Korea’s claim that South Korea flew drones over its capi…,politics
"Thousands of Boeing staff will get layoff notices within weeks, a union and industry sources said, as a senior U.S. official flew to Seattle to try to ease a crippling strike and a major airline issued a warning over the planemaker's deepening turmoil.",business
"China flew a record number of fighter jets and other warplanes around Taiwan during its large-scale military drills on Monday, Taiwan’s Defense Ministry said.",politics
"Nvidia's gains in share price lifted its market value to top $3.4 trillion, unseating Microsoft as the second most valuable company on Wall Street.",business
The strike in the Christian-majority northern town of Aitou hit a house that had been rented to displaced families.,politics
"LOS ANGELES -- From his perch in the on-deck circle at Dodger Stadium, Mark Vientos looked across the field, where opposing manager Dave Roberts was calling for an intentional walk of Francisco Lindor. Vientos adjusted his sunglasses and gave a slight raise o…",sports
"California's whooping cough outbreak comes as the CDC reports a nationwide surge in cases, raising concern for those most vulnerable to the respiratory disease.",science
"After struggling to control his emotions in the ALDS, Carlos Rodón sought to emulate teammate Gerrit Cole's demeanor on the mound. On Monday, he nailed the imitation, pitching the Yankees to a win over the Guardians in Game 1 of the ALCS.",sports
